state,in_degree,out_degree,total_degree
USA,151,71,222
China,11,121,132
Iran,9,46,55
United Kingdom,18,0,18
South Korea,13,2,15
India,10,1,11
Germany,9,0,9
Vietnam,5,3,8
Saudi Arabia,5,2,7
Japan,6,0,6
Israel,3,3,6
UAE,2,4,6
Pakistan,1,4,5
Mexico,2,2,4
France,2,1,3
Russia,3,0,3
Taiwan,2,0,2
Qatar,2,0,2
North Korea,2,0,2
Australia,1,1,2
Egypt,1,1,2
Canada,2,0,2
Singapore,1,0,1
Thailand,1,0,1
